# Sample Training Data
# This CSV can be used to train the model with python train.py --data-source csv --csv-path sample-training-data.csv

amount,hour_of_day,recent_txn_count,is_new_recipient,day_of_week,amount_log,is_odd_hour,is_weekend,is_fraud
100000,8,0,0,1,11.51,0,0,0
150000,10,1,0,2,12.01,0,0,0
200000,14,0,0,3,12.21,0,0,0
500000,9,2,0,4,13.12,0,0,0
750000,15,1,0,5,13.53,0,1,0
120000,11,0,1,0,11.69,0,0,0
300000,13,0,0,1,12.61,0,0,0
1000000,16,0,0,2,13.82,0,0,0
250000,20,3,0,3,12.43,0,0,0
180000,7,1,0,4,12.10,0,0,0
2500000,2,6,1,5,14.73,1,1,1
3000000,3,7,1,6,14.91,1,1,1
2700000,1,5,0,0,14.81,1,1,1
5000000,4,8,1,1,15.42,1,0,1
2200000,2,4,1,2,14.61,1,0,1
1500000,3,9,0,3,14.22,1,0,1
4000000,1,6,1,4,15.20,1,0,1
2800000,2,10,1,5,14.85,1,1,1
3500000,4,7,0,6,15.07,1,1,1
1800000,1,5,1,0,14.41,1,1,1
250000,8,0,0,1,12.43,0,0,0
180000,10,1,0,2,12.10,0,0,0
320000,14,0,0,3,12.67,0,0,0
290000,9,2,0,4,12.58,0,0,0
450000,15,1,0,5,13.02,0,1,0
380000,11,0,1,0,12.85,0,0,0
270000,13,0,0,1,12.51,0,0,0
650000,16,0,0,2,13.38,0,0,0
520000,20,3,0,3,13.26,0,0,0
410000,7,1,0,4,13.02,0,0,0
2600000,2,5,1,5,14.77,1,1,1
3100000,3,6,1,6,14.95,1,1,1
2400000,1,4,0,0,14.69,1,1,1
5500000,4,9,1,1,15.52,1,0,1
1900000,2,3,1,2,14.46,1,0,1
3300000,3,8,1,3,15.01,1,0,1
4200000,1,7,1,4,15.25,1,0,1
2000000,2,11,1,5,14.51,1,1,1
3700000,4,6,0,6,15.12,1,1,1
2100000,1,4,1,0,14.56,1,1,1
